strategy_type,sector,count,median_cagr,median_sharpe,std_sharpe
Supertrend,basic_materials,33,0.003298616829881418,0.21441986127903673,0.04727885670780788
LarryWilliams,basic_materials,7,0.0031685441670334935,0.20684119426254516,0.03439811894580527
LarryWilliams,healthcare,9,0.002359989240007243,0.20573249537407828,0.10492955018064774
MACrossover,consumer_cyclical,17,0.0022555502712338082,0.20070983127370745,0.06904805989148848
Donchian,real_estate,10,0.0018601452281024056,0.20004438807561997,0.13041720229281423
FiftyTwoWeekHigh,basic_materials,33,0.003059974475901228,0.19996850835781002,0.05610995860792181
STARC,healthcare,40,0.001450710477535977,0.19820914221028899,0.08095741769243629
Tsmom,industrials,65,0.0026082325869545286,0.19420303039597264,0.10057603300900918
FiftyTwoWeekHigh,energy,17,0.0022423802455113773,0.19407543091877125,0.0813127782442486
ParabolicSar,basic_materials,5,0.0021113761613404947,0.19351803510620166,0.056563105026544526
Aroon,consumer_cyclical,20,0.0019913369386299618,0.19350700620372974,0.08722229114876802
STARC,consumer_defensive,50,0.0008459340050686048,0.19305418939347208,0.07176185873867282
Tsmom,consumer_defensive,55,0.0009477135752720134,0.19279424740927306,0.1016947029128829
Aroon,industrials,65,0.0028708315014314145,0.19172402906368302,0.11101657117137047
Tsmom,utilities,55,0.001060310577633894,0.18769861725137255,0.05082528513407062
STARC,consumer_cyclical,17,0.0021496294649860914,0.1866275316998727,0.0478492665880482
STARC,technology,27,0.0030193381318728285,0.1834776514049711,0.07240693346641322
MACrossover,technology,27,0.0028677656473676816,0.17780606681924196,0.08098179209749566
Tsmom,healthcare,45,0.0016516793380043637,0.17357056905796095,0.08936140126478218
Aroon,comms_services,10,0.0014166695921656869,0.17344299933893387,0.12169659910473207
STARC,utilities,49,0.0008394535817763948,0.16920791330612991,0.07705272727957314
Donchian,consumer_cyclical,20,0.0011551449950029102,0.16544881631396807,0.0709295590086033
Tsmom,consumer_cyclical,20,0.0019162633026661435,0.16401951087136363,0.11716863482025641
Ensemble,technology,6,0.00211134362187293,0.1618057043772544,0.09775438758987764
Ensemble,industrials,13,0.0022122199473357806,0.15960015874657155,0.10652536410591172
Supertrend,comms_services,8,0.0014890298970255955,0.15512164165330852,0.011940111942998637
FiftyTwoWeekHigh,comms_services,8,0.0014423870368018843,0.15166376827692463,0.012409620684472725
STARC,basic_materials,33,0.0013399430669940315,0.15085082927437612,0.09259020975665658
Tsmom,real_estate,10,0.0017611621864395133,0.1490634169269775,0.0972218097023245
Donchian,industrials,65,0.0014492006297561755,0.1483237028869222,0.11218386217624003
Donchian,comms_services,10,0.0010492792231191483,0.14468704315101227,0.09644855968882976
Aroon,real_estate,10,0.001351189360723981,0.1372062801762638,0.10529232811377627
Aroon,technology,30,0.0019196931174209064,0.13233641586122658,0.1160336099010277
Tsmom,technology,30,0.002067015618331447,0.12709817413469665,0.11347143781788284
Donchian,technology,30,0.0018886499846748617,0.12267694807077259,0.15575472593224324
MACrossover,basic_materials,33,0.001396371277089914,0.12056745680535014,0.09183311460159094
STARC,comms_services,8,0.0006296670718682895,0.11923332641837572,0.0516815242381425
Aroon,financial,25,0.0006279379958786802,0.1131426148943557,0.1151599532408351
Ensemble,utilities,11,0.000419941900170695,0.1071392875945308,0.09458073948449894
STARC,energy,17,0.0007191515185036579,0.10680355864176973,0.09403605764678957
Donchian,financial,25,0.0011964168003395503,0.10525166517969733,0.09672929743903622
MACrossover,energy,17,0.0009617819980110021,0.10218608163126258,0.0669526955839628
Tsmom,basic_materials,35,0.0005833086294479983,0.09369402302634526,0.0999515035145923
Ensemble,healthcare,9,0.0005474800832618865,0.0924240593445746,0.17598390923349005
MACrossover,comms_services,8,0.0004241454645870224,0.09069554959574912,0.04017719359206244
Aroon,consumer_defensive,55,0.0004740294321783356,0.09027140863844237,0.09980386211259985
Aroon,utilities,55,0.00030437864993237973,0.07538022953893081,0.08245213835498875
Ensemble,consumer_defensive,11,0.00022189470560851632,0.07345852844459563,0.11447073236788408
Tsmom,comms_services,10,0.0004267693267312467,0.07238881790261736,0.02249074435057855
Aroon,basic_materials,35,0.00037986788876320787,0.0716997991014454,0.06854855971053964
Aroon,healthcare,45,0.000482034442646162,0.0703486880162383,0.11179838358964612
Tsmom,energy,20,0.00033977818752117805,0.0702378216273101,0.06171271171542786
Donchian,healthcare,45,0.00022874466562239348,0.03759554132247067,0.11578099985408426
Donchian,basic_materials,35,0.00027996189293100215,0.03693138600078845,0.07436152553643398
Donchian,consumer_defensive,55,0.00018215839671276157,0.036798728769748094,0.1136215635884034
Donchian,utilities,55,0.0001770135973149234,0.033937650370056374,0.08640907480694089
Aroon,energy,20,0.00003516707018746956,0.012442325414356633,0.10234274556637757
Donchian,energy,20,0.0000292780698305517,0.009721251297021099,0.0719173206699958
Ensemble,basic_materials,7,-0.00013896515691302902,-0.01333800499198332,0.08284684610831108
