strategy_type,config_str,num_symbols,top_half_count,top_quarter_count,top_10pct_count,avg_sharpe,top_half_pct,top_quarter_pct
STARC,atr_period=19_multiplier=2.0_sma_period=6,222,128,49,29,0.148354102392023,0.5765765765765766,0.22072072072072071
Ensemble,"base_strategy=Donchian_horizons=[20, 50]_voting=Majority",222,126,42,18,0.14957418952913437,0.5675675675675675,0.1891891891891892
Keltner,atr_period=18_ema_period=174_multiplier=2.0,222,106,38,15,0.12296299531945093,0.4774774774774775,0.17117117117117117
Keltner,atr_period=15_ema_period=166_multiplier=2.0,222,100,32,18,0.12147166771538637,0.45045045045045046,0.14414414414414414
Donchian,entry_lookback=135_exit_lookback=45,222,90,33,18,0.10776585143902648,0.40540540540540543,0.14864864864864866
Donchian,entry_lookback=110_exit_lookback=50,222,88,33,18,0.11491450377774784,0.3963963963963964,0.14864864864864866
Aroon,period=49,222,86,17,8,0.1061707214452693,0.38738738738738737,0.07657657657657657
Aroon,period=42,222,79,19,11,0.10679970140702574,0.35585585585585583,0.08558558558558559
DarvasBox,box_confirmation_bars=17,222,77,16,4,0.10274023523682513,0.34684684684684686,0.07207207207207207
Aroon,period=41,222,74,15,11,0.10527046012519375,0.3333333333333333,0.06756756756756757
Donchian,entry_lookback=395_exit_lookback=50,222,73,29,19,0.09483188309187827,0.32882882882882886,0.13063063063063063
Aroon,period=40,222,72,21,10,0.10650015381024759,0.32432432432432434,0.0945945945945946
DarvasBox,box_confirmation_bars=10,222,70,17,7,0.09693205031257247,0.3153153153153153,0.07657657657657657
Donchian,entry_lookback=30_exit_lookback=25,222,68,20,8,0.08880914274032652,0.3063063063063063,0.09009009009009009
Donchian,entry_lookback=40_exit_lookback=30,222,65,10,7,0.08241758581078826,0.2927927927927928,0.04504504504504504
BollingerSqueeze,period=33_squeeze_threshold=0.06_std_mult=2.0,222,65,29,19,0.025769470788483313,0.2927927927927928,0.13063063063063063
Keltner,atr_period=3_ema_period=109_multiplier=2.0,222,64,19,8,0.07326316903132751,0.2882882882882883,0.08558558558558559
BollingerSqueeze,period=100_squeeze_threshold=0.06_std_mult=2.0,222,60,13,8,0.08308368273667258,0.2702702702702703,0.05855855855855856
DmiAdx,adx_period=30_adx_threshold=25.0_di_period=23,222,48,21,13,0.01163692522377615,0.21621621621621623,0.0945945945945946
DarvasBox,box_confirmation_bars=7,222,48,10,4,0.05188424227763982,0.21621621621621623,0.04504504504504504
TurtleS2,"",222,46,14,4,0.052531923044039135,0.2072072072072072,0.06306306306306306
DarvasBox,box_confirmation_bars=5,222,44,10,2,0.031221299864137023,0.1981981981981982,0.04504504504504504
DarvasBox,box_confirmation_bars=6,222,43,10,3,0.037840059528410824,0.19369369369369369,0.04504504504504504
BollingerSqueeze,period=46_squeeze_threshold=0.06_std_mult=2.0,222,42,9,3,0.007110926203787507,0.1891891891891892,0.04054054054054054
TurtleS1,"",222,38,8,5,0.02965304051558932,0.17117117117117117,0.036036036036036036
Keltner,atr_period=12_ema_period=19_multiplier=2.0,222,35,5,3,0.00609710481148939,0.15765765765765766,0.02252252252252252
DmiAdx,adx_period=21_adx_threshold=25.0_di_period=27,222,32,10,2,0.01024975276922886,0.14414414414414414,0.04504504504504504
Combo3,"",464,66,13,6,0.004964289976556335,0.14224137931034483,0.028017241379310345
BollingerSqueeze,period=181_squeeze_threshold=0.06_std_mult=2.0,222,29,6,3,0.013683743378891484,0.13063063063063063,0.02702702702702703
DmiAdx,adx_period=15_adx_threshold=25.0_di_period=28,222,24,6,2,0.011141395965997303,0.10810810810810811,0.02702702702702703
Keltner,atr_period=10_ema_period=3_multiplier=2.0,222,23,4,1,0.005073798071615728,0.1036036036036036,0.018018018018018018
DmiAdx,adx_period=27_adx_threshold=25.0_di_period=22,222,22,8,2,-0.0066959399829627075,0.0990990990990991,0.036036036036036036
Combo2,"",444,36,2,0,0.0,0.08108108108108109,0.0045045045045045045
BollingerSqueeze,period=26_squeeze_threshold=0.06_std_mult=2.0,222,18,1,0,0.0,0.08108108108108109,0.0045045045045045045
DmiAdx,adx_period=3_adx_threshold=25.0_di_period=28,222,18,1,0,-0.0014298184411555921,0.08108108108108109,0.0045045045045045045
